market_id,condition_id,wallet,category,timestamp,timestamp_utc,side,outcome,outcome_index,asset_id,price,size_shares,notional_usdc,transaction_hash,source_file,source_row
3029440,0x13178ce83741883342e46ba645bc6bd8417633ce4c22bfbbe40b4070672c86be,0xeace539957dc19048c7be9bb64e1af6b517b38b9,Crypto,1784998551,2026-07-25T16:55:51+00:00,BUY,Yes,0,78423296503963723739064283312890026953778459701557886376608171970985684969246,0.003,25.0,0.075,0x0f2ff317a893f0032a4992a2f8a3726f8ac839fd5c11f90fdbb3d5b86fac3a9b,trades_3029440_0.json,12
3029440,0x13178ce83741883342e46ba645bc6bd8417633ce4c22bfbbe40b4070672c86be,0x850af00531f5e3e4d56e12c9412731bdf1d0ef01,Crypto,1784997361,2026-07-25T16:36:01+00:00,BUY,No,1,108663457396485825789306998137659084561349201649377958127574381186033559773294,0.9796832101,94.7,92.77599999647,0x1ac1aeefce1a4fb8651278de2ff17d7330a75fbda252c7ba025b77ba39445ada,trades_3029440_0.json,13
3029440,0x13178ce83741883342e46ba645bc6bd8417633ce4c22bfbbe40b4070672c86be,0x765c3441b5161683541bbbf7c0bc7d71b3d9dbb6,Crypto,1784997361,2026-07-25T16:36:01+00:00,BUY,Yes,0,78423296503963723739064283312890026953778459701557886376608171970985684969246,0.02,64.7,1.294,0x1ac1aeefce1a4fb8651278de2ff17d7330a75fbda252c7ba025b77ba39445ada,trades_3029440_0.json,14
3029440,0x13178ce83741883342e46ba645bc6bd8417633ce4c22bfbbe40b4070672c86be,0x510f4963b66b1b18505faab74b0bb943d1dda43c,Crypto,1784997361,2026-07-25T16:36:01+00:00,BUY,Yes,0,78423296503963723739064283312890026953778459701557886376608171970985684969246,0.021,30.0,0.63,0x1ac1aeefce1a4fb8651278de2ff17d7330a75fbda252c7ba025b77ba39445ada,trades_3029440_0.json,15
3029440,0x13178ce83741883342e46ba645bc6bd8417633ce4c22bfbbe40b4070672c86be,0x9620ec195fa46d35141150466d84a96dc7ad5052,Crypto,1784994385,2026-07-25T15:46:25+00:00,BUY,Yes,0,78423296503963723739064283312890026953778459701557886376608171970985684969246,0.1,10.0,1.0,0x6fc322c54dc7a762ce045714d97185e4b6692885c6032670174a6881d7826580,trades_3029440_0.json,16
3029440,0x13178ce83741883342e46ba645bc6bd8417633ce4c22bfbbe40b4070672c86be,0x131502dbd9c67fc805a069f61444c2be1c43a84a,Crypto,1784994385,2026-07-25T15:46:25+00:00,BUY,No,1,108663457396485825789306998137659084561349201649377958127574381186033559773294,0.9,10.0,9.0,0x6fc322c54dc7a762ce045714d97185e4b6692885c6032670174a6881d7826580,trades_3029440_0.json,17
3029440,0x13178ce83741883342e46ba645bc6bd8417633ce4c22bfbbe40b4070672c86be,0x9a6cad1ddaf04bad24711958942b3eabe84c5834,Crypto,1784994373,2026-07-25T15:46:13+00:00,BUY,Yes,0,78423296503963723739064283312890026953778459701557886376608171970985684969246,0.0881170018,492.3,43.37999998614,0xdf2033ef28ca7bbd8e5dd4bbabae6150ddd2b053e35e458a687ef91b83e469c1,trades_3029440_0.json,18
3029440,0x13178ce83741883342e46ba645bc6bd8417633ce4c22bfbbe40b4070672c86be,0x131502dbd9c67fc805a069f61444c2be1c43a84a,Crypto,1784994373,2026-07-25T15:46:13+00:00,BUY,No,1,108663457396485825789306998137659084561349201649377958127574381186033559773294,0.9,265.3,238.77,0xdf2033ef28ca7bbd8e5dd4bbabae6150ddd2b053e35e458a687ef91b83e469c1,trades_3029440_0.json,19
3029440,0x13178ce83741883342e46ba645bc6bd8417633ce4c22bfbbe40b4070672c86be,0x489a6942253203fd0c5e786c230419a02840fff2,Crypto,1784994373,2026-07-25T15:46:13+00:00,SELL,Yes,0,78423296503963723739064283312890026953778459701557886376608171970985684969246,0.098,5.0,0.49,0xdf2033ef28ca7bbd8e5dd4bbabae6150ddd2b053e35e458a687ef91b83e469c1,trades_3029440_0.json,20
3029440,0x13178ce83741883342e46ba645bc6bd8417633ce4c22bfbbe40b4070672c86be,0x765c3441b5161683541bbbf7c0bc7d71b3d9dbb6,Crypto,1784994373,2026-07-25T15:46:13+00:00,SELL,Yes,0,78423296503963723739064283312890026953778459701557886376608171970985684969246,0.08,22.0,1.76,0xdf2033ef28ca7bbd8e5dd4bbabae6150ddd2b053e35e458a687ef91b83e469c1,trades_3029440_0.json,21
3029440,0x13178ce83741883342e46ba645bc6bd8417633ce4c22bfbbe40b4070672c86be,0xb41ead279375742d6c2a1a2239bdce56376411fd,Crypto,1784994373,2026-07-25T15:46:13+00:00,SELL,Yes,0,78423296503963723739064283312890026953778459701557886376608171970985684969246,0.073,200.0,14.6,0xdf2033ef28ca7bbd8e5dd4bbabae6150ddd2b053e35e458a687ef91b83e469c1,trades_3029440_0.json,22
